,ordinaldate,blue,green,red,nir,swir1,swir2,therm,tcb,tcg,tcw,fmask
425,733869,498,549,600,947,1008,612,989,1663,167,-562,0
426,733877,397,564,590,922,1112,748,1093,1693,145,-724,0
427,733885,334,428,481,843,954,654,1547,1446,190,-638,0
428,733893,378,543,575,912,1015,746,996,1635,153,-668,0
429,733901,-9999,-9999,-9999,-9999,-9999,-9999,-1315,-9999,-9999,-9999,255
430,733941,2660,3031,2859,3605,3374,2891,-75,7180,-57,-1775,4
431,733949,289,371,386,1006,765,548,2436,1371,401,-455,0
432,733957,272,376,411,1051,804,523,2194,1415,430,-449,0
433,733965,288,383,396,1099,865,605,2537,1479,460,-534,0
434,733973,258,388,364,1219,1007,658,2625,1583,567,-650,0
435,733981,310,428,382,1365,1138,720,2436,1759,648,-733,0
436,733989,284,410,410,1529,1200,795,2540,1893,761,-785,0
437,733997,253,424,378,1669,1308,806,2537,1991,889,-846,0
438,734005,736,873,812,2047,1552,981,898,2851,773,-804,2
439,734013,298,472,488,1949,1565,919,1655,2349,1022,-990,0
440,734021,235,484,469,1994,1866,1148,1928,2504,1042,-1331,0
441,734029,328,496,504,1946,1924,1137,2233,2535,971,-1357,0
442,734037,275,504,555,1799,2006,1127,1702,2494,837,-1420,0
443,734045,362,536,584,1796,2184,1151,2386,2601,796,-1538,0
444,734053,298,485,552,1525,1923,1042,1471,2287,633,-1369,0
445,734061,396,572,674,1532,2024,1273,1327,2499,511,-1519,0
446,734077,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,255
447,734157,791,755,944,824,180,143,-158,1560,-124,421,3
448,734165,900,878,851,884,265,254,-183,1669,-91,307,3
449,734205,290,285,176,308,230,152,521,559,27,-68,1
450,734245,684,761,661,875,910,743,750,1781,-15,-522,2
451,734261,196,256,231,354,199,192,1331,584,52,-54,1
452,734269,798,808,806,1117,841,674,156,2005,87,-327,4
453,734277,161,177,139,315,196,155,1702,461,95,-83,0
454,734301,239,235,204,414,246,149,1816,608,117,-59,0
455,734309,121,205,163,443,238,153,2238,564,185,-73,0
456,734325,244,277,221,593,314,157,2282,762,239,-62,0
457,734333,428,446,404,948,557,406,1709,1309,328,-213,4
458,734341,143,254,201,603,294,160,2194,721,278,-62,0
459,734349,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,255
460,734357,269,364,286,763,326,201,2106,951,313,-25,0
461,734365,188,221,198,624,342,164,2182,743,295,-99,0
462,734373,200,300,230,741,399,214,2018,893,346,-119,0
463,734381,-9999,-9999,-9999,-9999,-9999,-9999,1762,-9999,-9999,-9999,255
464,734389,253,333,286,851,497,303,2062,1063,377,-193,0
465,734397,258,345,255,945,576,356,1271,1142,456,-268,0
466,734405,2017,2099,1995,2697,2030,1777,-801,4983,117,-834,4
467,734429,226,328,282,1173,783,446,1327,1360,620,-415,0
468,734437,290,417,380,1057,851,467,293,1424,446,-447,0
469,734453,343,467,519,1202,887,622,31,1663,451,-483,0
470,734477,359,425,476,1083,961,663,-94,1589,378,-603,0
471,734493,3114,3352,3532,4048,955,687,-821,6763,139,1592,4
472,734509,2276,2384,2465,3074,996,583,-158,5030,253,885,3
473,734557,926,943,942,924,330,207,31,1783,-116,341,3
474,734637,16000,16000,16000,5767,1885,1680,-9999,23051,-9626,7518,255
475,734653,238,294,270,945,425,310,1921,1068,470,-143,0
476,734669,341,467,472,1387,970,653,1869,1776,617,-537,0
477,734685,2987,2954,2942,3883,2850,2265,758,7111,178,-961,4
478,734717,313,479,429,1932,1924,1067,2735,2459,1013,-1344,0
479,734733,408,629,541,2322,1973,1021,2386,2831,1226,-1205,0
480,734749,411,600,641,2154,2406,1367,2833,2994,999,-1719,0
481,734765,537,700,871,1984,2847,1684,2931,3303,662,-2150,0
482,734781,471,680,980,1943,2951,1729,1869,3361,584,-2229,0
483,734797,4232,4660,4894,5862,5552,4908,-752,11749,-170,-3038,4
484,734813,400,659,822,1759,2679,1697,1437,3052,537,-2116,0
485,734829,1097,1193,1376,2122,1758,1166,-821,3519,400,-792,4
